course_id,semester,year
MITx/11.133x/2T2015,Summer 2015,Year 4
MITx/11.133x_2/2T2016,Summer 2016,Year 5
MITx/11.154x/1T2017,Spring 2017,Year 5
MITx/11.154x/3T2017,Fall 2017,Year 6
MITx/11.155x/1T2017,Spring 2017,Year 5
MITx/11.155x/1T2018,Spring 2018,Year 6
MITx/11.405x/1T2018,Spring 2018,Year 6
MITx/11.405x/1T2016,Spring 2016,Year 4
MITx/11.405x_2/1T2017,Spring 2017,Year 5
MITx/12_340x/1T2014,Spring 2014,Year 2
MITx/12.340x_2/1T2016,Spring 2016,Year 4
MITx/14_73x/1T2014,Spring 2014,Year 2
MITx/14.01x/2T2017,Fall 2017,Year 6
MITx/14.100x/1T2017,Spring 2017,Year 5
MITx/14.100x/1T2018,Spring 2018,Year 6
MITx/14.100x/2T2017,Summer 2017,Year 6
MITx/14.100x/2T2018,Summer 2018,
MITx/14.100x/3T2016,Fall 2016,Year 5
MITx/14.100x/3T2017,Fall 2017,Year 6
MITx/14.310x/1T2017,Spring 2017,Year 5
MITx/14.310x/1T2018,Spring 2018,Year 6
MITx/14.310x/2T2017,Summer 2017,Year 6
MITx/14.310x/2T2018,Summer 2018,
MITx/14.310x/3T2016,Fall 2016,Year 5
MITx/14.310x/3T2017,Fall 2017,Year 6
MITx/14.73x/1T2017,Spring 2017,Year 5
MITx/14.73x/1T2018,Spring 2018,Year 6
MITx/14.73x/2T2017,Summer 2017,Year 6
MITx/14.73x/2T2018,Summer 2018,
MITx/14.73x/3T2016,Fall 2016,Year 5
MITx/14.73x/3T2017,Fall 2017,Year 6
MITx/14.73x_1/1T2016,Spring 2016,Year 4
MITx/14.73x_1/1T2015,Spring 2015,Year 3
MITx/14.740x/1T2017,Spring 2017,Year 5
MITx/14.740x/1T2018,Spring 2018,Year 6
MITx/14.740x/2T2017,Summer 2017,Year 6
MITx/14.740x/2T2018,Summer 2018,
MITx/14.740x/3T2016,Fall 2016,Year 5
MITx/14.740x/3T2017,Fall 2017,Year 6
MITx/14.74x/3T2015,Fall 2015,Year 4
MITx/15.053x/3T2016,Fall 2016,Year 5
MITx/15.071x/1T2014,Spring 2014,Year 2
MITx/15.071x/2T2017,Summer 2017,Year 6
MITx/15.071x_2/1T2015,Spring 2015,Year 3
MITx/15.071x_2a/2T2015,Summer 2015,Year 4
MITx/15.071x_3/1T2016,Spring 2016,Year 4
MITx/15.390.1x/3T2014,Fall 2014,Year 3
MITx/15.390.1x_1/1T2015,Spring 2015,Year 3
MITx/15.390.2x/3T2014,Fall 2014,Year 3
MITx/15.390.2x_1/2T2015,Spring 2015,Year 3
MITx/15.390x/1T2014,Spring 2014,Year 2
MITx/15.662x/1T2018,Spring 2018,Year 6
MITx/15.662x/1T2015,Spring 2015,Year 3
MITx/15.662x_2/1T2016,Spring 2016,Year 4
MITx/15.662x_3/1T2017,Spring 2017,Year 5
MITx/15.671.0x/2T2016,Fall 2016,Year 5
MITx/15.671.0x/3T2017,Fall 2017,Year 6
MITx/15.671.1x/3T2017,Fall 2017,Year 6
MITx/15.671.1x/3T2016,Fall 2016,Year 5
MITx/15.671x/3T2015,Fall 2015,Year 4
MITx/15.762x/2T2018,Summer 2018,
MITx/15.763x/3T2018,Fall 2018,
MITx/15.S23x/3T2014,Fall 2014,Year 3
MITx/16.00x/1T2015,Spring 2015,Year 3
MITx/16.00x/3T2017,Fall 2017,Year 6
MITx/16.00x/3T2016,Fall 2016,Year 5
MITx/16.101x_2/3T2015,Fall 2015,Year 4
MITx/16.110x/1T2014,Spring 2014,Year 2
MITx/16.110x_2/1T2016,Spring 2016,Year 4
MITx/17.571x/3T2017,Fall 2017,Year 6
