course_id,semester,year
MITx/8.05.2x/1T2018,Spring 2018,Year 6
MITx/8.05.3x/1T2016,Spring 2016,Year 4
MITx/8.05.3x/2T2018,Spring 2018,Year 6
MITx/8.05x/1T2015,Fall 2014,Year 3
MITx/8.370.1x/1T2018,Spring 2018,Year 6
MITx/8.370.2x/1T2018,Spring 2018,Year 6
MITx/8.370.3x/1T2018,Spring 2018,Year 6
MITx/8.371x/3T2016,Fall 2016,Year 5
MITx/8.421.1x/3T2015,Fall 2015,Year 4
MITx/8.421.2x/3T2015,Fall 2015,Year 4
MITx/8.421.3x/3T2015,Fall 2015,Year 4
MITx/8.421.4x/3T2015,Fall 2015,Year 4
MITx/8.421.5x/1T2016,Fall 2015,Year 4
MITx/8.422.1x/1T2017,Spring 2017,Year 5
MITx/8.422.2x/1T2017,Spring 2017,Year 5
MITx/8.422.3x/1T2017,Spring 2017,Year 5
MITx/8.422.4x/2T2017,Spring 2017,Year 5
MITx/8.422.5x/2T2017,Summer 2017,Year 6
MITx/8.EFTx/3T2014,Fall 2014,Year 3
MITx/8.MechCx/1T2015,Fall 2014,Year 3
MITx/8.MechCx_2/1T2016,Spring 2016,Year 4
MITx/8.MechCx_2/2T2015,Summer 2015,Year 4
MITx/8.MReVx/2T2014,Summer 2014,Year 3
MITx/9.01x/3T2014,Fall 2014,Year 3
MITx/CITE101x/2T2017,Fall 2017,Year 6
MITx/CMS.501x/1T2018,Spring 2018,Year 6
MITx/CTL.SC0x/1T2018,Spring 2018,Year 6
MITx/CTL.SC0x/3T2017,Fall 2017,Year 6
MITx/CTL.SC0x/3T2018,Fall 2018,
MITx/CTL.SC0x_2/1T2017,Spring 2017,Year 5
MITx/CTL.SC1x/3T2017,Fall 2017,Year 6
MITx/CTL.SC1x/2T2018,Summer 2018,
MITx/CTL.SC1x_1/2T2015,Summer 2015,Year 4
MITx/CTL.SC1x_2/1T2016,Spring 2016,Year 4
MITx/CTL.SC1x_3/1T2017,Spring 2017,Year 5
MITx/CTL.SC1x_3/2T2017,Summer 2017,Year 6
MITx/CTL.SC2x/1T2018,Summer 2018,
MITx/CTL.SC2x/3T2018,Fall 2018,
MITx/CTL.SC2x/3T2015,Fall 2015,Year 4
MITx/CTL.SC2x/3T2017,Fall 2017,Year 6
MITx/CTL.SC2x_2/2T2016,Summer 2016,Year 5
MITx/CTL.SC2x_3/1T2017,Spring 2017,Year 5
MITx/CTL.SC3x/1T2018,Spring 2018,Year 6
MITx/CTL.SC3x/2T2018,Fall 2018,
MITx/CTL.SC3x/2T2017,Summer 2017,Year 6
MITx/CTL.SC4x/1T2018,Spring 2018,Year 6
MITx/CTL.SC4x/3T2018,Fall 2018,
MITx/CTL.SC4x/3T2017,Fall 2017,Year 6
MITx/EC.745X/1T2018,Spring 2018,Year 6
MITx/EECS.6.002x/3T2013,Fall 2013,Year 2
MITx/ENx/2016_3T,Fall 2016,Year 5
MITx/ESD.SCM1x/3T2014,Fall 2014,Year 3
MITx/HST.936x/1T2017,Spring 2017,Year 5
MITx/HST.936x/1T2018,Spring 2018,Year 6
MITx/JPAL101_1x/3T2014,Fall 2014,Year 3
MITx/JPAL101x/3T2017,Fall 2017,Year 6
MITx/JPAL101x/1T2014,Spring 2014,Year 2
MITx/JPAL101x/2T2017,Spring 2017,Year 5
MITx/JPAL101x_3/1T2015,Spring 2015,Year 3
MITx/JPAL101x_4/3T2015,Fall 2015,Year 4
MITx/JPAL101x_5/2T2016,Summer 2016,Year 5
MITx/JPAL101x_6/3T2016,Fall 2016,Year 5
MITx/JPAL102x/1T2017,Spring 2017,Year 5
MITx/JPAL102x/1T2018,Spring 2018,Year 6
MITx/JPAL102x/2T2017,Summer 2017,Year 6
MITx/JPAL102x/2T2018,Summer 2018,
MITx/JPAL102x/3T2017,Fall 2017,Year 6
MITx/JPAL350x/3T2016,Fall 2016,Year 5
MITx/JPAL350x/3T2017,Fall 2017,Year 6
MITx/Launch.x/1T2016,Spring 2016,Year 4
MITx/Launch.x/2T2017,Summer 2017,Year 6
MITx/Launch.x/3T2017,Fall 2017,Year 6
MITx/Launch.x_2/2T2016,Summer 2016,Year 5
MITx/Launch.x_3/1T2017,Fall 2016,Year 5
MITx/LaunchX/1T2018,Spring 2018,Year 6
MITx/MAS.S69x/1T2014,Spring 2014,Year 2
MITx/StartX/2016_T1,Spring 2016,Year 4
MITx/StartX/2T2016,Summer 2016,Year 5
MITx/STL.161x/3T2017,Fall 2017,Year 6
MITx/STL.161x/2T2018,Fall 2018,
MITx/STL.161x/2T2017,Summer 2017,Year 6
MITx/STL.162x/2T2017,Summer 2017,Year 6
MITx/uINOV8x/2T2015,Spring 2015,Year 3
MITx/uINOV8x_1/2T2016,Summer 2016,Year 5
MITx/uINOV8x_TUR/3T2015,Spring 2016,Year 4
VJx/VJx/3T2014,Fall 2014,Year 3
VJx/VJx/3T2015,Fall 2015,Year 4
VJx/VJx_2/3T2016,Fall 2016,Year 5
VJx/VJx_S/3T2015,Fall 2015,Year 4
